,article,label
0,"Dresden: Wieder Kind durch Flüchtling brutal vergewaltigt – wie lange noch?Wie lange müssen bzw. wollen wir diesem Treiben der Vergewaltiger-Horden noch zuschauen. Täglich mindestens 10 Vergewaltigungen durch Flüchtlinge in Deutschland. Schuld daran trägt die irre Kanzlerin und jeder Gutmensch, der einmal #refugeeswelcome geseiert hat. Sie messern mit, vergewaltigen mit, schlagen Menschen mit tot und tragen Mitschuld an den Terroranschlägen. Und natürlich haben sich diese “Flüchtlingshelfer” eines Tages vor einem ordentlichen Gericht wegen Beihilfe zu verantworten. Merkt Euch ihre Namen!  ",1
1,"Allahu helau: Massive sexuelle Übergriffe durch Flüchtlinge zu Karnevalsbeginn in Köln…In Köln hat es bei der Eröffnung der neuen Karnevalssession etliche Polizeieinsätze mit mehr als 1000 Beamten gegeben. Festnahmen und mehrere Strafanzeigen gab es unter anderem wegen sexueller Übergriffe und Körperverletzungen. Die Polizei in Köln meldete von den Feiern zum 11.11. rund 50 Festnahmen und mehrere Strafanzeigen – unter anderem wegen sexueller Übergriffe und Körperverletzungen. Ein Unbekannter hatte einen Bierkrug in eine Menschenmenge geworfen, der zwei Frauen am Kopf traf. Sie wurden in ein Krankenhaus gebracht. Am frühen Sonntagmorgen habe sich die Situation in der Domstadt dann beruhigt, sagte ein Polizeisprecher. Zeitweise waren die Hauptplätze der Zehntausenden Feiernden in der Innenstadt wegen Überfüllung gesperrt worden.  ",1
2,"Fasching in Deutschland – Vergewaltigungsorgien durch Flüchtlinge im AkkordBesonders grausam ist der Fall einer 14-Jährigen aus Dresden. Diese übernachtete sogar bei ihrem späteren Peiniger, einem 17-jährigen Iraker. Der verging sich in der Nacht an seinem Opfer. Das Mädchen flüchtete nach der Tat aus der Wohnung und erstattete Anzeige. Der Iraker sitzt in Haft. Die Anzahl der angezeigten Sexualdelikte explodierte in Köln von letztjährlich 18 auf 66 Sexualstraftaten. ",1
3,"Reservate “Schutzzonen” zum Vergewaltigungsschutz vor “schutzsuchenden Flüchtlingen”Wer sich in Berlin zu Silvester nicht für Merkels Flüchtlinge als Fickfleisch zur Verfügung stellen will, soll extra vorbereitete Schutzzonen (Reservate) aufsuchen, in denen die Frauen vor diesen Bestien mit Maschinenpistolen bewacht werden. Alle könne man schließlich nicht schützen, aber einen kleinen Teil. Dafür ist die personelle Übermacht der Vergewaltiger einfach zu groß. Die Vergewaltiger-Fraktion trainiert schon das ganze Jahr für dieses große Fickfest zum Jahresende. 10 Vergewaltigungen an Frauen und Kindern passieren laut offiziellen Pressemeldungen JEDEN Tag in Deutschland. Dabei ist das nur die Spitze des Eisberges, weil wenn der Täter entkommt, gilt er als unbekannt und nicht als Flüchtling. Und das ist in ca. 90 % der Fälle so. Also geht ruhig von 30.000 Vergewaltigungen pro Jahr durch diese Import-Bestien aus. – Ach ja, es sind nicht alle so. Dafür ist der Zeitstrahl noch zu kurz. Im Übrigen sollen #refugeeswelcome-Vereine angeblich auch an diese Typen Seit Weihnachten Viagra und ähnliche Produkte an diese “Flüchtlinge” für ihren “großen Tag” verteilen. In Halle gab es bereits mehrere bestätigende Aussagen dazu.  ",1
4,"Flüchtling klaut in S-Bahn schlafender Wiesn-Kellnerin 6500 Euro TageseinahmenFast ein halbes Jahr später nun die Öffentlichkeitsfahndung nach dem “Blonden Hans”… Auf Höhe Laim stieg der bisher unbekannte Dieb zu. Zuerst setzte er sich seinem Opfer gegenüber, im Laufe der Fahrt leerte sich die S-Bahn immer weiter. Wie eine Videoaufzeichnung aus der S-Bahn zeigt, wartete der Täter, bis sich eine günstige Gelegenheit bot. Gegen 9:10 Uhr setzte er sich dann neben den Münchner und griff ihm mehrmals an die Kellnertasche, die er an der Seite trug. Dabei steckte er sich wiederholt Bargeld ein, laut Bundespolizei ingesamt 6.500 Euro. Danach entfernte er sich von seinem schlafenden Opfer, der von all dem natürlich nichts mitbekam.  ",1
5,"Gegen die Langeweile: BundesreGIERung will jugendliche Terroristen nach Deutschland holenNach Medienberichten will die Bundesregierung minderjährige Angehörige von IS-Kämpfern, die mit einem deutschen Pass ausgestattet sind, nach Deutschland holen. Das Auswärtige Amt soll sich mit einem entsprechenden Ansinnen an die irakische Regierung gewandt und Ausreisegenehmigungen für diesen Personenkreis gefordert haben. Die AfD-Fraktionsvorsitzende Alice Weidel warnt vor den Folgen: „Die jüngsten Razzien gegen die Islamisten-Szene haben neuerlich gezeigt, dass die unkontrollierte Masseneinwanderung zu gefährlichen Parallelgesellschaften in Deutschland geführt hat. In diesen Kreisen können sich Terroristen offensichtlich weitgehend unbekümmert bewegen.  ",1
6,"Bestialischer Überfall – Flüchtling enthauptet Oma (98) beim Klau der Halskette (fast)Ein bislang unbekannter Mann ist 7. November mitten am Tag in ein Seniorenheim eingedrungen und hat einer 98-jährigen Frau die Halskette entrissen. Die Polizei sucht nun mit Bild- und Videomaterial nach dem dreisten Täter. Spezialisten des Rauskommissariats haben Videomaterial einer Überwachungskamera vorliegen, die die Tatzeit sehr genau einkreist. ",1
7,"Rezession beendet. Keine Arbeitslosigkeit mehr. Betteln ist Arbeit!Die Jobcenter, immer kreativ in Sachen Demütigung, haben eine Marktlücke für Arbeitslose gefunden: Betteln gilt als Arbeit! Dortmund, Innenstadt: Michael Hansen (50) ist ohne Ausbildung und jobbte für Zeitarbeitsfirmen. Seit
2005 bezieht er Hartz-IV. Da dessen Mini-Satz zum Leben kaum reicht, positinierte er sich vor einem Modehaus und bat um milde Gaben. Blöderweise sah eine Mitarbeiterin des JobCenters ihn dabei und glaubte sich genötigt, diesen unverschämten Zuverdienst zu melden. ",1
8,"Grüne wollen Esel-Taxis in Deutschland etablierenMit riesen Schritten zurück in die Steinzeit. Geht es nach den Grünen, werden bald vermehrt Esel-Karren als Taxis auf Deutschlands Straßen fahren. Eine Taxifahrt von Berlin nach München wird dann mal schnell eine Woche in Anspruch nehmen. Außerdem bekommt der Satz “ein Taxi besteigen” eine ganz neue Bedeutung, wenn man die sexuelle Präferenz von Vielen beachtet, die noch nicht so lange hier leben… #Grüneversenken!  ",1
9,"Heidelberg: Schwarzer Flüchtling reibt erigierten Penis an 25jähriger und raubt sie ausDer Täter hielt ihr nach Angaben der Beamten einen Gegenstand an den Körper und sagte in gebrochenem Englisch, dass es sich um ein Messer handeln würde. Der Mann entkleidete daraufhin die Frau teilweise, öffnete seine Hose und rieb seinen Penis an der 25-Jährigen. Im Anschluss raubte der Täter das Mobiltelefon der Heidelbergerin und flüchtete zu Fuß in Richtung Kurfürstenanlage.  ",1
